Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Gurobi Time(s),Speedup,Problem Type
12,2500,4,5,4847706.43,0.009474333,1,4.384734584,462.80140079518003,Cluster
12,2500,5,6,4846598.44,0.011388709,1,4.145764709,364.0241144979646,Cluster
12,2500,6,3,4784768.03,0.014133417,1,6.446503834,456.11785416081614,Cluster
12,2500,7,4,4701714.33,0.009787208,1,1.426190542,145.71985616326944,Cluster
12,2500,8,5,4432212.89,0.009430208,1,4.886888208,518.2163752909797,Cluster
12,2500,9,1,4864032.71,0.01037675,1,2.891241375,278.62687016647794,Cluster
12,2500,10,4,4749797.5,0.012552166,1,4.809427167,383.155159595563,Cluster
12,2500,11,6,4994257.94,0.016109918,1,2.751535667,170.79762088174502,Cluster
12,2500,12,5,4871946.66,0.016646542,1,1.038736584,62.39954123805413,Cluster
12,2500,13,2,4979301.13,0.01436175,1,4.348020125,302.7500217591867,Cluster
12,2500,14,3,4875461.99,0.013579666,1,4.397617833,323.8384385153508,Cluster
12,2500,15,6,4730308.03,0.009672125,1,3.468052042,358.5615407162335,Cluster
12,2500,16,6,4854926.88,0.010276001,1,8.024100584,780.8582914696095,Cluster
12,2500,17,4,4738953.05,0.010044708,1,2.011345167,200.23928689614473,Cluster
12,2500,18,1,4809041.18,0.010184083,1,1.715625125,168.46142406734117,Cluster
12,2500,19,2,4918408.53,0.015642292,1,5.174709125,330.815274705267,Cluster
12,5000,0,5,6916093.54,0.0226975,1,73.252419042,3227.33424570988,Cluster
12,5000,1,3,6505477.44,0.029019916,1,76.333392208,2630.3795024079327,Cluster
12,5000,2,1,6586457.56,0.022655375,1,59.515364959,2626.9865300839206,Cluster
12,5000,3,3,6675698.88,0.026065209,1,72.33291275,2775.075110658043,Cluster
12,5000,4,2,6446324.0,0.015497291,1,261.189892333,16853.906423580742,Cluster
12,5000,5,6,6661518.75,0.017815667,1,28.882677334,1621.1953969503359,Cluster
12,5000,6,1,6268404.53,0.016381875,1,75.961726125,4636.937232459654,Cluster
12,5000,7,5,6626646.57,0.015886542,1,93.636930625,5894.1039922344335,Cluster
12,5000,8,0,6844611.93,0.023612292,1,43.114059959,1825.915923748529,Cluster
12,5000,9,6,6578655.52,0.024217625,1,30.870441625,1274.709705225017,Cluster
12,5000,10,2,6711839.28,0.02578,1,68.6788385,2664.0356283941037,Cluster
12,5000,11,6,6674230.23,0.017906958,1,318.139801458,17766.267249747278,Cluster
12,5000,12,2,6733197.95,0.031777084,1,71.076875708,2236.7337326483453,Cluster
12,5000,13,6,6649360.42,0.023608333,1,35.101626333,1486.832057689122,Cluster
12,5000,14,0,6704669.16,0.018197084,1,191.8515015,10542.980485224996,Cluster
12,5000,15,4,6683245.61,0.020932,1,60.698264458,2899.7833201796293,Cluster
12,5000,16,1,6570997.16,0.024238125,1,94.612455833,3903.456056646296,Cluster
12,5000,17,3,6636221.12,0.023383959,1,118.246408708,5056.731783869447,Cluster
12,5000,18,2,6735228.98,0.021246125,1,74.7207745,3516.913060616936,Cluster
12,5000,19,1,6702663.19,0.024816875,1,96.365569083,3883.0662234064525,Cluster
4,500,0,1,962750.0,0.001348333,5,0.069534166,51.57046960951041,Realistic
4,500,1,1,965875.0,0.001618209,5,0.083190084,51.4087389206215,Realistic
4,500,2,6,971325.0,0.001381668,5,0.081255833,58.8099550688009,Realistic
4,500,3,6,963325.0,0.001532792,5,0.049378875,32.21498742164625,Realistic
4,500,4,1,953100.0,0.000875416,5,0.03877025,44.287801456678885,Realistic
4,500,5,6,960450.0,0.001213375,5,0.0762365,62.830122591943955,Realistic
4,500,6,1,965650.0,0.001516916,5,0.077827917,51.3066755179588,Realistic
4,500,7,6,965225.0,0.002754792,5,0.095974875,34.83924557643554,Realistic
4,500,8,1,967275.0,0.001093416,5,0.062276834,56.9562124571069,Realistic
4,500,9,5,968700.0,0.001587749,5,0.109007875,68.65560929340846,Realistic
4,500,10,1,968200.0,0.001577375,5,0.087398083,55.40729566526666,Realistic
4,500,11,1,961700.0,0.001133167,5,0.069655542,61.46979394917077,Realistic
4,500,12,1,973850.0,0.001029501,5,0.064532875,62.6836447949055,Realistic
4,500,13,6,962225.0,0.001104,5,0.08207875,74.34669384057972,Realistic
4,500,14,1,955825.0,0.0006105,5,0.063702708,104.34514004914004,Realistic
4,500,15,4,961700.0,0.001107041,5,0.053685417,48.494515559947644,Realistic
4,500,16,6,969650.0,0.000968,5,0.052297,54.025826446280995,Realistic
4,500,17,5,970525.0,0.001380334,5,0.075995875,55.056149453682956,Realistic
4,500,18,1,966550.0,0.000650876,5,0.045441708,69.8162292049484,Realistic
4,500,19,3,974325.0,0.001921208,5,0.063629875,33.119722070697186,Realistic
4,1000,0,6,1636975.0,0.004546083,5,0.219869,48.36449312518051,Realistic
4,1000,1,2,1631275.0,0.00667575,5,0.125586875,18.812399355877613,Realistic
4,1000,2,4,1663225.0,0.005928875,5,0.225614709,38.05354455946533,Realistic
4,1000,3,2,1623075.0,0.006745125,5,0.252147459,37.38217735030856,Realistic
4,1000,4,6,1665125.0,0.005024458,5,0.289406208,57.599487944769365,Realistic
4,1000,5,6,1640075.0,0.003174209,5,0.097637375,30.759592389789077,Realistic
4,1000,6,6,1642025.0,0.005244375,5,0.226494208,43.18802679060899,Realistic
4,1000,7,6,1642300.0,0.006301999,5,0.169485334,26.893900490939462,Realistic
4,1000,8,4,1670825.0,0.005754417,5,0.148616958,25.826588166968083,Realistic
4,1000,9,6,1627250.0,0.005232834,5,0.213368666,40.77497317896957,Realistic
