Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Optimal Demand,Optimality Gap (%),Problem Type
12,5000,9,6,6578655.52,0.024217625,1,7543774.27,12.79357938688693,Clustered
12,5000,10,2,6711839.28,0.02578,1,7644546.74,12.20095175976385,Clustered
12,5000,11,6,6674230.23,0.017906958,1,7470638.83,10.66051536050498,Clustered
12,5000,12,2,6733197.95,0.031777084,1,7473773.76,9.908994221414586,Clustered
12,5000,13,6,6649360.42,0.023608333,1,7408629.93506895,10.248447037082084,Clustered
12,5000,14,0,6704669.16,0.018197084,1,7414284.70926302,9.570923927111451,Clustered
12,5000,15,4,6683245.61,0.020932,1,7432394.38447294,10.079507837178165,Clustered
12,5000,16,1,6570997.16,0.024238125,1,7423634.11,11.485438767132344,Clustered
12,5000,17,3,6636221.12,0.023383959,1,7364327.22,9.886933025227519,Clustered
12,5000,18,2,6735228.98,0.021246125,1,7514347.37,10.368410610221758,Clustered
12,5000,19,1,6702663.19,0.024816875,1,7479916.44503292,10.391202371639576,Clustered
4,500,0,1,962750.0,0.001348333,5,979500.0,1.7100561510974988,Realistic
4,500,1,1,965875.0,0.001618209,5,983450.0,1.7870761096141137,Realistic
4,500,2,6,971325.0,0.001381668,5,981100.0,0.9963306492712262,Realistic
4,500,3,6,963325.0,0.001532792,5,980275.0,1.729106628242075,Realistic
4,500,4,1,953100.0,0.000875416,5,980100.0,2.7548209366391188,Realistic
4,500,5,6,960450.0,0.001213375,5,976925.0,1.6864140031220411,Realistic
4,500,6,1,965650.0,0.001516916,5,982775.0,1.7425148177354939,Realistic
4,500,7,6,965225.0,0.002754792,5,982050.0,1.7132528893640853,Realistic
4,500,8,1,967275.0,0.001093416,5,979950.0,1.2934333384356345,Realistic
4,500,9,5,968700.0,0.001587749,5,978075.0,0.9585154512690744,Realistic
4,500,10,1,968200.0,0.001577375,5,981125.0,1.3173652694610778,Realistic
4,500,11,1,961700.0,0.001133167,5,982825.0,2.1494162236410346,Realistic
4,500,12,1,973850.0,0.001029501,5,981050.0,0.7339075480352684,Realistic
4,500,13,6,962225.0,0.001104,5,978500.0,1.6632600919775167,Realistic
4,500,14,1,955825.0,0.0006105,5,977550.0,2.22239271648509,Realistic
4,500,15,4,961700.0,0.001107041,5,981950.0,2.062223127450481,Realistic
4,500,16,6,969650.0,0.000968,5,981150.0,1.1720939713601386,Realistic
4,500,17,5,970525.0,0.001380334,5,983600.0,1.329300528670191,Realistic
4,500,18,1,966550.0,0.000650876,5,974675.0,0.8336112037345782,Realistic
4,500,19,3,974325.0,0.001921208,5,982400.0,0.8219666123778502,Realistic
4,1000,0,6,1636975.0,0.004546083,5,1686225.0,2.9207252887366755,Realistic
4,1000,1,2,1631275.0,0.00667575,5,1682025.0,3.0171965339397455,Realistic
4,1000,2,4,1663225.0,0.005928875,5,1702550.0,2.309770638160406,Realistic
4,1000,3,2,1623075.0,0.006745125,5,1693475.0,4.157132523361726,Realistic
4,1000,4,6,1665125.0,0.005024458,5,1691250.0,1.5447154471544715,Realistic
4,1000,5,6,1640075.0,0.003174209,5,1676800.0,2.190183683206107,Realistic
