Instance,User,Simulation,B,U,num_rows,density,avg_degree,max_degree,degree_std,D_mean,D_std,D_cv,avg_row_len,max_row_len,row_density,conflict_max,conflict_avg,conflict_std,conflict_pressure,color_clique_max,color_clique_avg,color_clique_std,color_pressure,Backtracking percentiles idx
4,1000,13,500,3764,2000,0.0625250501002004,31.2,84,21.3569660766692,23378.95,19330.4499597791,0.826831400032043,26.776,139,0.00711370882040383,16,6.43661971830986,3.52828568022791,0.266666666666667,31,16.068017366136,8.36364221615285,7.75,5
4,1000,14,500,3628,2000,0.0606653306613226,30.272,77,19.0926691690816,23776.15,20079.4350002063,0.844520033739958,24.21,112,0.00667309812568908,13,5.98563218390805,3.22299931745936,0.216666666666667,30,15.2541856925419,6.86425801055973,7.5,6
4,1000,15,500,3728,2000,0.0608496993987976,30.364,82,19.7743142485397,22853.4,19342.8990443534,0.846390429623313,25.222,101,0.00676555793991416,16,5.95652173913043,3.28119270736432,0.266666666666667,34,15.4780058651026,7.07419519561446,8.5,6
4,1000,16,500,3728,2000,0.0576192384769539,28.752,76,18.4169078837898,22142.85,18874.0481250717,0.852376641898929,23.816,114,0.00638841201716738,14,5.75498575498576,3.18871263171524,0.233333333333333,28,14.4985337243402,6.57335090585926,7.0,4
4,1000,17,500,4032,2000,0.0584849699398798,29.184,74,18.2527297684483,22596.85,18914.455750232,0.837039487814984,25.428,112,0.00630654761904762,13,5.78488372093023,3.01164474270234,0.216666666666667,31,14.1477572559367,6.35280371354802,7.75,6
4,1000,18,500,3564,2000,0.05774749498998,28.816,72,18.1463534628861,22653.1,19205.7517527949,0.847820022548566,23.034,103,0.00646296296296296,14,5.91351351351351,3.11805224737895,0.233333333333333,35,14.5538221528861,6.85581310849901,8.75,6
4,1000,19,500,3804,2000,0.0615791583166333,30.728,89,21.2058957839559,23457.6,19383.7167421527,0.826329920458728,26.638,141,0.00700262881177708,15,6.10714285714286,3.53973575276066,0.25,40,15.8288159771755,8.15361239155726,10.0,1
4,2500,0,500,5564,2000,0.0513346693386774,25.616,66,17.1790728504189,41034.8,33557.0762501747,0.817771166185157,23.636,101,0.00424802300503235,10,4.44820717131474,2.34314860632931,0.166666666666667,27,12.5130548302872,5.87637761768334,6.75,6
4,2500,1,500,5456,2000,0.0522645290581162,26.08,68,16.9966349610739,42460.45,33788.2699993268,0.795758641260909,23.49,99,0.00430535190615836,9,4.58620689655172,2.32875412063061,0.15,26,12.8335588633288,5.69292319281422,6.5,6
4,2500,2,500,5128,2000,0.0528336673346693,26.364,66,17.4389077639627,41943.0,32142.1115672259,0.766328387745892,20.96,83,0.00408736349453978,10,4.57651991614256,2.42214496095247,0.166666666666667,27,12.6286149162861,5.98798671003318,6.75,6
4,2500,3,500,5344,2000,0.0492985971943888,24.6,67,16.1319558640606,41299.25,34674.9915744402,0.839603420750745,21.614,90,0.00404453592814371,9,4.33397683397683,2.18065468177843,0.15,27,12.042194092827,5.68793899741175,6.75,5
4,2500,4,500,5648,2000,0.0526492985971944,26.272,73,18.0993374464371,40959.7,31429.7828645073,0.767334303339802,24.93,110,0.00441395184135977,11,4.6900826446281,2.57190494274034,0.183333333333333,31,12.9542566709022,6.70169934641952,7.75,3
4,2500,5,500,5580,2000,0.0529859719438878,26.44,66,17.7749936708849,42112.65,33301.8203890938,0.790779501862119,25.254,93,0.0045258064516129,9,4.52362204724409,2.31764735086649,0.15,27,13.4142857142857,5.70564118858808,6.75,4
4,2500,6,500,5460,2000,0.0504529058116232,25.176,69,16.9701215081095,39718.25,31429.5879815104,0.79131351410272,23.716,126,0.00434358974358974,9,4.40755467196819,2.2513310806465,0.15,25,13.0283783783784,6.06946322641712,6.25,5
4,2500,7,500,5276,2000,0.0516072144288577,25.752,70,17.7776965887035,42121.0,35285.4504222349,0.837716351041878,21.672,81,0.0041076573161486,9,4.41176470588235,2.30415964128952,0.15,27,12.4798270893372,6.15192123164942,6.75,6
4,2500,8,500,5720,2000,0.0526653306613226,26.28,63,17.4819220911203,43361.2,35822.271383316,0.826136531814526,25.254,110,0.00441503496503497,10,4.59509202453988,2.41155543864499,0.166666666666667,25,12.8944099378882,6.09266179575207,6.25,5
4,2500,9,500,5408,2000,0.0508857715430862,25.392,71,17.9409680898217,42292.6,35572.8014814687,0.841111718869702,22.924,90,0.00423890532544379,10,4.46868686868687,2.34381397134068,0.166666666666667,30,12.7235213204952,6.3003054210174,7.5,6
